"","ctrl.avg","trtA.avg","trtB.avg","trtAvsCtrl.p","trtAvsCtrl.FDR","trtAvsCtrl.logFC","trtAvsCtrl.FC","trtBvsCtrl.p","trtBvsCtrl.FDR","trtBvsCtrl.logFC","trtBvsCtrl.FC"
"gene1",1.98932408198392,-0.187826685552284,0.0429156671464416,7.19771981578175e-07,7.19771981578175e-05,-2.1771507675362,-4.52259487347698,2.19683114897342e-06,0.000219683114897342,-1.94640841483748,-3.854138495865
"gene5",2.06085667804597,0.0337223117158083,0.0564988520291696,4.48533418042594e-06,0.000224266709021297,-2.02713436633017,-4.07594438449031,5.00244567596667e-06,0.000250122283798334,-2.00435782601681,-4.01210072588293
"gene4",1.87758070767944,-0.542723936851973,-0.0747006181193005,5.50383933234205e-05,0.00170954171036188,-2.42030464453141,-5.35284042431957,0.000338699860007268,0.00869504082802326,-1.95228132579874,-3.86985986827187
"gene3",1.61240769142519,-0.0862428391678851,0.212734766776506,6.83816684144751e-05,0.00170954171036188,-1.69865053059308,-3.24597194476421,0.00034780163312093,0.00869504082802326,-1.39967292464868,-2.63841759450117
"gene2",1.41286100560061,-0.131482045519667,0.00505173179713542,0.000854613207729547,0.0160206018755008,-1.54434305112028,-2.91671222535567,0.00167206855632515,0.033441371126503,-1.40780927380348,-2.65333948301051
"gene10",0.269230872352617,-1.37094947267735,0.425386033858656,0.00096123611253005,0.0160206018755008,-1.64018034502996,-3.11704794289009,0.680126621426006,0.946838432653528,0.15615516150604,1.11431348852371
"gene7",0.0856958375134755,-0.202225742824027,-0.142666729425008,0.210359544712458,0.876498102968574,-0.287921580337503,-1.22088014825491,0.314079004453461,0.805330780649901,-0.228362566938484,-1.17150455767471
"gene6",-0.26837658275512,0.0433931992124884,0.151409953858879,0.376767550710817,0.913597984800145,0.311769781967608,1.24122940656402,0.240640347285233,0.758677488674832,0.419786536613999,1.33772960760378
"gene9",-0.218472827191413,0.183967241253459,0.291749912724809,0.508284819511883,0.934861651308146,0.402440068444872,1.32174151789947,0.404500659860227,0.886058937740734,0.510222739916222,1.42427007388006
"gene8",-0.449913927286444,0.0382590838695635,-0.423558914779569,0.067242886970054,0.568503277093488,0.488173011156008,1.40266745151632,0.914773098060462,0.957823738069814,0.0263550125068751,1.01843578145235
